This Could Be The Start of Something Big,Eb,G (Pickup),G,Eb,audio/EFlat.mp3,Eb,(Lead pickup) Youre walkin a (all)long the street
All I Do Is Dream Of You,F,C,A,G,audio/CNatural.mp3,C,(Bass pickup) Ba dm dm... Dee oo ee oo ee oo
Ive Got The World On A String,E,C,Bb,G,audio/FNatural.mp3,F,Im sittin on top of the world
Love Letters,E,C,Bb,G,audio/FNatural.mp3,F,The sky may be starless,the night may be moonless
Have A Little Talk With Myself,A,F,C,F,audio/FNatural.mp3,F,Lately I have noticed all my friends avoiding me
All The Things You Are,B,D,G,G,audio/GNatural.mp3,G,Time and again Ive longed for adventure
I Wish You Love,D-G,D-D,D-Bb,D-G,audio/GNatural.mp3,Gm,Goodbye,no use leading with our chins
Show Me Where The Goodtimes Are,Gb,Ab,C,Eb,audio/CSharp.mp3,Db,Come on and show me where the goodtimes are
Blackbird Medley,G,B,D,G,audio/GNatural.mp3,G,Pack up all my cares and woes
Wrap Your Troubles in Dreams,G,E,C,C,audio/CNatural.mp3,C,Ba-dap Ba-dap Ba-dap
Sold,E,C#,A,G,audio/ANatural.mp3,A,(Bass) Well... Dm pu pu dm / (Others) da-va-da- dat
